Date : 2024-09-02 20:38:31
Directory : /home/echoz/upload_code/dual_arm_dq_controller
Total : 111 files,  984805 codes, 1846 comments, 1726 blanks, all 988377 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |          2 |    966,102 |          0 |          2 |    966,104 |
| Python   |         86 |      9,585 |      1,338 |      1,473 |     12,396 |
| Log      |          2 |      4,618 |          0 |         35 |      4,653 |
| XML      |         10 |      2,687 |        375 |         24 |      3,086 |
| CUDA C++ |          2 |      1,188 |        122 |        144 |      1,454 |
| YAML     |          5 |        464 |         11 |         38 |        513 |
| C++      |          4 |        161 |          0 |         10 |        171 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        111 |    984,805 |      1,846 |      1,726 |    988,377 |
| . (Files)                                                                                         |          9 |    966,177 |        107 |         89 |    966,373 |
| common                                                                                            |          1 |          4 |          0 |          0 |          4 |
| cuda_dq_kernel                                                                                    |         32 |      7,231 |        303 |        301 |      7,835 |
| cuda_dq_kernel (Files)                                                                            |          8 |      6,306 |        164 |        217 |      6,687 |
| cuda_dq_kernel/include                                                                            |          1 |         27 |          0 |          2 |         29 |
| cuda_dq_kernel/test                                                                               |         23 |        898 |        139 |         82 |      1,119 |
| cuda_dq_test                                                                                      |          5 |         89 |         36 |         15 |        140 |
| cuda_dq_test (Files)                                                                              |          4 |         84 |         36 |         13 |        133 |
| cuda_dq_test/include                                                                              |          1 |          5 |          0 |          2 |          7 |
| cuda_dqmppi                                                                                       |         12 |        710 |        157 |        143 |      1,010 |
| cuda_dqmppi_new                                                                                   |         14 |        729 |        136 |        103 |        968 |
| cuda_planning                                                                                     |          6 |      1,949 |        284 |        272 |      2,505 |
| curobo_model                                                                                      |          3 |        595 |         26 |         22 |        643 |
| curobo_model (Files)                                                                              |          2 |        136 |          0 |         13 |        149 |
| curobo_model/dual_arm_model                                                                       |          1 |        459 |         26 |          9 |        494 |
| dual_arm_model                                                                                    |          8 |      1,517 |        198 |         97 |      1,812 |
| dual_arm_model (Files)                                                                            |          6 |        948 |         91 |         95 |      1,134 |
| dual_arm_model/ur3                                                                                |          1 |        280 |         31 |          1 |        312 |
| dual_arm_model/ur3e                                                                               |          1 |        289 |         76 |          1 |        366 |
| model                                                                                             |          4 |        631 |        107 |          2 |        740 |
| model/object                                                                                      |          1 |         31 |          0 |          0 |         31 |
| model/plane                                                                                       |          1 |         31 |          0 |          0 |         31 |
| model/ur3                                                                                         |          1 |        280 |         31 |          1 |        312 |
| model/ur3e                                                                                        |          1 |        289 |         76 |          1 |        366 |
| model_new                                                                                         |          3 |        652 |        109 |          9 |        770 |
| model_new (Files)                                                                                 |          1 |         83 |          0 |          7 |         90 |
| model_new/ur3                                                                                     |          1 |        280 |         33 |          1 |        314 |
| model_new/ur3e                                                                                    |          1 |        289 |         76 |          1 |        366 |
| motion_planning                                                                                   |         14 |      4,521 |        383 |        673 |      5,577 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                          | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/echoz/upload_code/dual_arm_dq_controller/111.py                                             | Python   |         35 |          4 |          1 |         40 |
| /home/echoz/upload_code/dual_arm_dq_controller/b_urdf_structs_example.py                          | Python   |         33 |          4 |          1 |         38 |
| /home/echoz/upload_code/dual_arm_dq_controller/common/math_extension.py                           | Python   |          4 |          0 |          0 |          4 |
| /home/echoz/upload_code/dual_arm_dq_controller/cuda_dq_kernel/dq._kerner.cu                       | CUDA C++ |      1,143 |         86 |        134 |      1,363 |
| /home/echoz/upload_code/dual_arm_dq_controller/cuda_dq_kernel/dq.cpp                              | C++      |        116 |          0 |          4 |        120 |
| /home/echoz/upload_code/dual_arm_dq_controller/cuda_dq_kernel/dq_cooperativedualtaskspace.py      | Python   |        140 |         16 |          6 |        162 |
